Mill TPH,Clinker TPH,Gypsum TPH,DFA TPH,WFA TPH,Mill KW,Mill I/L Temp,Mill O/L Temp,Mill O/L BE Amp,Mill Vent Fan RPM,Mill Vent Fan KW,Mill Vent BF I/L Draft,Mill Vent BF O/L Draft,Reject,Sep RPM,Sep KW,Sep Amp,CA Fan RPM,CA Fan KW,Mill Folaphone,Mill I/L Draft,Mill O/L Draft,Sep. Vent I/L Draft,Sep. Vent O/L Draft,Sep.Vent bag filter fan kw,Sep.Vent bag filter fan rpm,"Residue
(45µ)"
274077162041.24228,102.72,102.72,4472123675.801162,4.032620987850289,3576.52,28.89,97.5,44.82,133.29404391996894,45.4,76.2,173.57,124.88,901.12,40.21,153.18,905.5,324.56,0.1536400127714741,1.7179120131390442,87.5,0.15068832371598578,211.3,0.9065927570355364,0.2148267171649328,12.8
275156075207.40533,102.8,102.8,4491638499.71377,4.032620987850289,3590.03,29.89,80.0,50.34,132.3141548790752,44.15,77.75,188.47,36.62,962.44,27.38,126.01,905.26,314.57,0.15364001277147418,1.6936679176100564,88.0,0.15068832371598576,211.6,0.9034798607545208,0.2148267171649328,13.8
320128507807.7089,105.69,105.69,5287650011.117478,4.146794090044411,3707.47,29.02,90.57,42.52,132.3141548790752,43.79,78.81,199.12,61.41,962.65,34.95,130.99,900.25,329.96,0.15364001277147382,1.6873873666760162,86.9,0.15068832371598573,212.3,0.9037465728206447,0.2148267171649328,14.3
271127968351.74026,102.52,102.52,4418821768.15207,4.023102977336884,3640.07,28.44,92.25,47.27,132.3141548790752,43.74,80.54,201.81,46.15,962.7,32.25,130.31,900.27,329.62,0.15364001277147435,1.6924287480377027,86.5,0.15068832371598584,211.3,0.9057586680020214,0.2148267171649328,15.7
267148192621.53632,102.24,102.24,4351749398.802105,4.01358441010306,3636.94,27.81,87.87,50.78,132.3141548790752,44.3,77.7,198.04,83.41,962.54,46.95,137.52,900.33,327.73,0.15364001277147468,1.732413523153757,85.3,0.15068832371598576,212.8,0.9058291575262727,0.2148267171649328,15.5
273807974797.69138,102.71,102.71,4467256022.504558,4.023102977336884,3624.03,27.63,82.35,54.76,132.3141548790752,44.3,81.6,207.93,81.48,962.56,46.46,136.86,900.33,327.69,0.15364001277147432,1.7221793530663376,85.63,0.1506883237159857,211.9,0.9058291575262727,0.2148267171649328,13.3
265744722916.19907,102.14,102.14,4323264901.996889,4.004065285033045,3710.48,28.01,85.47,44.27,132.3141548790752,43.97,80.19,207.83,107.17,952.3,54.39,142.63,900.35,326.84,0.1536400127714745,1.6911812054232735,85.6,0.15068832371598578,212.6,0.9047524314711365,0.2148267171649328,14.5
289125514190.1452,103.74,103.74,4736511335.125364,4.070687484862104,3685.35,28.91,90.96,45.49,132.3141548790752,44.05,85.15,209.32,86.26,952.43,48.56,138.15,900.31,327.58,0.1536400127714746,1.7294060289920712,83.5,0.15068832371598567,212.6,0.9058291575262727,0.2148267171649328,12.8
274616185515.9699,102.76,102.76,4481872239.198134,4.032620987850289,3653.52,30.37,89.56,49.15,132.3141548790752,43.94,80.08,207.36,79.82,962.2,45.74,137.43,900.31,315.71,0.1536400127714741,1.7067722702406398,90.0,0.15068832371598564,212.8,0.9024272815663484,0.2148267171649328,13.6
275606645756.5539,102.83,102.83,4501422483.02883,4.032620987850289,3648.05,33.05,93.17,47.24,132.3141548790752,43.77,83.68,203.11,133.27,952.37,58.02,147.06,900.38,320.64,0.15364001277147254,1.6948988090712251,82.1,0.1506883237159857,213.3,0.9034415549294864,0.2148267171649328,14.2
