,Mill TPH,Clinker TPH,Gypsum TPH,DFA TPH,WFA TPH,Mill KW,Mill I/L Temp,Mill O/L Temp,Mill O/L BE Amp,Mill Vent Fan RPM,Mill Vent Fan KW,Mill Vent BF I/L Draft,Mill Vent BF O/L Draft,Reject,Sep RPM,Sep KW,Sep Amp,CA Fan RPM,CA Fan KW,Mill Folaphone,Mill I/L Draft,Mill O/L Draft,Sep. Vent I/L Draft,Sep. Vent O/L Draft,Sep.Vent bag filter fan kw,Sep.Vent bag filter fan rpm,"Residue
(45µ)"
CA Fan RPM,0.27101515263407083,0.26959180052719245,0.016873051250011227,0.3429364495235956,-0.3284509367579942,-0.022796898466363177,0.18749534166312826,0.1859792459969181,0.07527114371387333,-0.020397830325825927,0.23852975146777586,0.3319543827858458,0.23362003202195258,0.020639106251765144,-0.5731843843879844,-0.2520342896766525,-0.20612245396208662,1.0,0.5549408792575997,0.19008349055880955,0.5012771099083385,0.5045675048883997,0.025796534867004596,0.016810293671498902,0.21998414656416487,0.04630731450647528,0.03241493127903812
CA Fan KW,0.15235460007244225,0.18429477897414132,-0.00558218916522787,0.20039653622762293,-0.25934498214919105,0.015280631664599878,0.15510451500197275,0.16853154004820137,0.06285833731397497,0.027653096480325056,0.022837039899265433,0.11984286224812365,0.1300519252454069,-0.10231671120921643,-0.45260468189654557,-0.3507788684322203,-0.5131105128158414,0.5549408792575997,1.0,0.10396748226285212,0.2986578815184784,0.3068689603984928,0.007611168548390505,0.08139986221417868,0.17305747145308176,0.051716458168738454,0.006971323421870133
Mill Folaphone,-0.16569693938256586,-0.1862966381802566,-0.45271701103959433,-0.05781513242340869,0.06879855925467748,-0.15957491457913878,0.4706846962108845,0.35389131708498595,0.30378056695592687,-0.1449292570242115,0.28101590461441067,0.43278609623235353,0.1806333324666372,0.12424049945563033,-0.06821553234398138,0.13000809334302618,0.17138121176605603,0.19008349055880955,0.10396748226285212,1.0,0.5357659614976968,0.2229284478516052,0.08526925147588031,0.0852313397091205,0.6045148714773574,0.18628644671202746,-0.01928486658758574
Mill I/L Draft,0.08434779184579098,0.013205574730335165,-0.35567295197150267,0.18897017590109125,-0.03377364881924023,0.08311547520023735,0.6956859141743267,0.5406813959956085,0.5012962498861345,-0.24868152230416202,0.5221140548585658,0.6228521459581744,0.20728512643466276,0.19476775491877152,-0.18247872556254996,0.22953070147331708,0.23411969996925866,0.5012771099083385,0.2986578815184784,0.5357659614976968,1.0,0.5121005511910086,0.10743365135844447,0.10817998979919152,0.7865029458563145,0.29710481642098624,0.062592374777574
Mill O/L Draft,0.19259120799441393,0.23605869910235355,0.004225375664930975,0.23360530423625087,-0.3045250821674457,-0.05085959302177639,0.236923487353626,0.18098302564333155,0.1240505828859604,0.034223688419673,0.14375554171076485,0.35190459805443297,0.1593166712769886,0.07554813127102633,-0.3759124405873759,0.023453692301615536,-0.01473116532886851,0.5045675048883997,0.3068689603984928,0.2229284478516052,0.5121005511910086,1.0,0.03240690532352358,-0.001039228514658537,0.20171707286045393,0.027047766638653985,0.016457837878733565
Sep. Vent I/L Draft,-0.00029826935745248367,-0.017815371165371848,-0.04372509571207484,0.0014793007815384204,0.03833852304506543,0.06035887218164584,0.14064723336055696,0.12046653856790211,0.1127811457001724,-0.07180406633189702,0.0990221897501747,0.09000846125896207,-0.001880398603545438,0.01969438001070827,0.044112860091891304,0.04555935831216891,0.0727668898155491,0.025796534867004596,0.007611168548390505,0.08526925147588031,0.10743365135844447,0.03240690532352358,1.0,0.027482065162309416,0.14763992617640112,0.03469292795459993,0.0038925371457713457
Sep. Vent O/L Draft,-0.02476701294025942,-0.04892149958507082,-0.053713586000653346,-0.01999558914321149,0.06873775809778997,0.04936361984913539,0.11170369668698554,0.0848671156643275,0.08433227513770566,-0.07695526909541296,0.07490052218696101,0.0600429774207851,0.027561142838998885,0.026780755516970265,0.016077723778579203,-0.020236062028719776,-0.0027078640461548056,0.016810293671498902,0.08139986221417868,0.0852313397091205,0.10817998979919152,-0.001039228514658537,0.027482065162309416,1.0,0.1378068519853795,0.0310771046318862,-0.010896147530504517
Sep.Vent bag filter fan kw,-0.026530769536537473,-0.18291027821176054,-0.467590341174992,0.06660220643666323,0.2580024438427593,0.2331045034880634,0.8213160200128695,0.6336215425016298,0.6568546907908211,-0.467010219253403,0.6374371295533118,0.5707423280277637,0.14255021682117464,0.23558394675254102,0.13516458615022753,0.2570823465553274,0.35664542648215175,0.21998414656416487,0.17305747145308176,0.6045148714773574,0.7865029458563145,0.20171707286045393,0.14763992617640112,0.1378068519853795,1.0,0.34075137271243106,0.06433035315148251
Sep.Vent bag filter fan rpm,-0.1215860872602965,-0.20240297105433253,-0.3723102818578898,-0.01629383623297025,0.15051130438631088,0.0007441378777095335,0.3035066184932943,0.20809298941552518,0.23803338512511663,-0.09578312582384466,0.2515082388634183,0.22790612066008628,0.10546181476060784,0.21080759776236954,0.08256232048164758,0.17556472489136216,0.1781693381446533,0.04630731450647528,0.051716458168738454,0.18628644671202746,0.29710481642098624,0.027047766638653985,0.03469292795459993,0.0310771046318862,0.34075137271243106,1.0,0.01306288327657714
"Residue
(45µ)",-0.0015199222368801216,-0.03456280237342796,-0.07121230710614887,0.02148186337146847,0.04375645980428781,-0.011011649968976921,0.032574298794406646,0.01621703233731287,0.049567368645249965,-0.07447250462504948,0.0487938554049235,0.07131497288045734,0.02631220201784356,0.08615782646155352,-0.022253886934424188,0.028612205230164087,0.04562505542841952,0.03241493127903812,0.006971323421870133,-0.01928486658758574,0.062592374777574,0.016457837878733565,0.0038925371457713457,-0.010896147530504517,0.06433035315148251,0.01306288327657714,1.0
